[16:42:33] 48813796: 6 shards,   done model-00037-of-00045.safetensors
[16:42:34] 48813798: 2 shards,   done model-00002-of-00045.safetensors
[16:42:36] 48813788: 2 shards,    model-00022-of-00045.safetensors
[16:43:06] 48813796: 6 shards,   done model-00037-of-00045.safetensors
[16:43:07] 48813798: 2 shards,   done model-00002-of-00045.safetensors
[16:43:08] 48813788: 2 shards,    model-00022-of-00045.safetensors
[16:43:39] 48813796: 7 shards,   done model-00037-of-00045.safetensors
[16:43:40] 48813798: 2 shards,   done model-00002-of-00045.safetensors
[16:43:41] 48813788: 2 shards,    model-00022-of-00045.safetensors
